,ID,SerialNumber,ListYear,DateRecorded,Town,Address,AssessedValue,SaleAmount,SalesRatio,PropertyType,ResidentialType,NonUseCode,Remarks
1409,1410,100079,2010,04/26/2011 12:00:00 AM,Ansonia,16 FIFTH STREET,52400,28000.0,1.87142857142857,Vacant Land,,07,
1420,1421,100102,2010,07/07/2011 12:00:00 AM,Ansonia,16 HUGHES CR,153700,188390.0,0.815860714475291,Condo,,,
1521,1522,100117,2010,08/03/2011 12:00:00 AM,Ansonia,17 MAY STREET,105200,105000.0,1.00190476190476,Residential,Single Family,,
1548,1549,100037,2010,01/03/2011 12:00:00 AM,Ansonia,173 WAKELEE AVE,172200,145000.0,1.1875862068965501,Residential,Two Family,,
1600,1601,100068,2010,04/04/2011 12:00:00 AM,Ansonia,18 MOUNTAIN VIEW ROAD,146900,180000.0,0.8161111111111109,Residential,Single Family,,
1661,1662,100040,2010,01/13/2011 12:00:00 AM,Ansonia,19 HODIO DRIVE,197700,207000.0,0.9550724637681159,Residential,Single Family,,
1684,1685,100113,2010,07/22/2011 12:00:00 AM,Ansonia,19 WOODBRIDGE AVE,156900,65000.0,2.41384615384615,Residential,Two Family,14,
1704,1705,100084,2010,05/09/2011 12:00:00 AM,Ansonia,197 HODGE AVE,200200,153000.0,1.30849673202614,Residential,Three Family,,
1731,1732,100097,2010,06/14/2011 12:00:00 AM,Ansonia,2 BIRCHWOOD DRIVE,74800,87500.0,0.854857142857143,Vacant Land,,,
1745,1746,100028,2010,11/30/2010 12:00:00 AM,Ansonia,2 DWIGHT STREET,172100,115000.0,1.49652173913044,Residential,Two Family,25,
1756,1757,100041,2010,01/18/2011 12:00:00 AM,Ansonia,2 HUGHES CR,148500,187890.0,0.790356059396455,Condo,,,
1815,1816,100019,2010,11/11/2010 12:00:00 AM,Ansonia,20 SCOTLAND STREET,152600,163600.0,0.932762836185819,Residential,Two Family,,
1848,1849,100066,2010,04/01/2011 12:00:00 AM,Ansonia,21 ARCH STREET,173200,165902.0,1.04398982531856,Residential,Two Family,,
1878,1879,100004,2010,10/12/2010 12:00:00 AM,Ansonia,21 PARKER STREET,146400,215000.0,0.68093023255814,Residential,Single Family,,
1926,1927,100071,2010,04/07/2011 12:00:00 AM,Ansonia,22 BEVERLY DRIVE,162500,187200.0,0.868055555555556,Residential,Single Family,,
1929,1930,100111,2010,07/20/2011 12:00:00 AM,Ansonia,22 CLARK STREET,208300,115000.0,1.8113043478260902,Residential,Single Family,07,
1933,1934,100083,2010,05/02/2011 12:00:00 AM,Ansonia,22 CLIFTON AVE,144600,31500.0,4.59047619047619,Residential,Two Family,14,
1967,1968,100106,2010,07/13/2011 12:00:00 AM,Ansonia,22 PINECREST AVE,132500,165000.0,0.803030303030303,Residential,Single Family,,
2000,2001,100006,2010,10/20/2010 12:00:00 AM,Ansonia,227 PROSPECT STREET,193200,151200.0,1.27777777777778,Residential,Single Family,14,
2003,2004,100008,2010,10/25/2010 12:00:00 AM,Ansonia,228 PROSPECT STREET,167100,242000.0,0.690495867768595,Residential,Single Family,,
2032,2033,100093,2010,06/03/2011 12:00:00 AM,Ansonia,23 WOODBRIDGE AVE,154400,95000.0,1.62526315789474,Residential,Single Family,14,
2039,2040,100090,2010,05/27/2011 12:00:00 AM,Ansonia,236 PRINDLE AVE,172300,180000.0,0.9572222222222221,Residential,Single Family,,
2063,2064,100035,2010,12/22/2010 12:00:00 AM,Ansonia,24 CRESTWOOD ROAD,130300,165496.0,0.7873302073766129,Residential,Single Family,,
2089,2090,100112,2010,07/22/2011 12:00:00 AM,Ansonia,24 RSERVOIR DRIVE,170400,230000.0,0.740869565217391,Residential,Single Family,07,
2112,2113,100062,2010,03/30/2011 12:00:00 AM,Ansonia,25 ALAN DRIVE,153100,105000.0,1.4580952380952399,Residential,Single Family,,
2117,2118,100065,2010,03/31/2011 12:00:00 AM,Ansonia,25 BEVERLY DRIVE,131700,185000.0,0.7118918918918921,Residential,Single Family,,
2137,2138,100121,2010,08/15/2011 12:00:00 AM,Ansonia,25 N COE LA,181200,216000.0,0.8388888888888891,Residential,Single Family,,
2153,2154,100021,2010,11/17/2010 12:00:00 AM,Ansonia,256 N STREETATE STREET,147800,52000.0,2.8423076923076898,Residential,Single Family,07,
2169,2170,100075,2010,04/18/2011 12:00:00 AM,Ansonia,26 FAIRVIEW STREET,143500,180000.0,0.797222222222222,Residential,Single Family,,
2172,2173,100022,2010,11/18/2010 12:00:00 AM,Ansonia,26 GARDNERS LA,174800,250000.0,0.6992,Vacant Land,,,
2177,2178,100044,2010,01/19/2011 12:00:00 AM,Ansonia,26 HOTCHKISS TERR,149300,228000.0,0.654824561403509,Residential,Single Family,,
2208,2209,100122,2010,08/01/2011 12:00:00 AM,Ansonia,263 WAKELEE AVE,195100,240000.0,0.8129166666666658,Residential,Two Family,,
2247,2248,100039,2010,01/10/2011 12:00:00 AM,Ansonia,27 PLATT STREET,291000,102900.0,2.82798833819242,Residential,Three Family,07,
2251,2252,100031,2010,12/20/2010 12:00:00 AM,Ansonia,27 STREETATE STREET,145700,151000.0,0.9649006622516559,Residential,Single Family,,
2253,2254,100115,2010,08/01/2011 12:00:00 AM,Ansonia,27 W BROOKSIDE AVE,190100,180000.0,1.0561111111111101,Residential,Single Family,,
2336,2337,100026,2010,11/24/2010 12:00:00 AM,Ansonia,29 HULL STREET,129300,160000.0,0.808125,Residential,Single Family,,
2345,2346,100073,2010,04/15/2011 12:00:00 AM,Ansonia,29 LOCKE STREET,153000,146000.0,1.04794520547945,Residential,Two Family,,
2378,2379,100061,2010,03/29/2011 12:00:00 AM,Ansonia,3 CHESTER STREET,198100,240000.0,0.825416666666667,Residential,Single Family,,
2390,2391,100077,2010,04/21/2011 12:00:00 AM,Ansonia,3 FAIRVIEW STREET,129000,137500.0,0.938181818181818,Residential,Single Family,,
2394,2395,100078,2010,04/25/2011 12:00:00 AM,Ansonia,3 FINNUCAN DRIVE,218800,284000.0,0.7704225352112679,Residential,Single Family,,
2398,2399,100030,2010,12/20/2010 12:00:00 AM,Ansonia,3 GRACIE LA,43500,255000.0,0.170588235294118,Vacant Land,,07,
2403,2404,100020,2010,11/16/2010 12:00:00 AM,Ansonia,3 HUGHES CR,150600,179000.0,0.841340782122905,Condo,,,
2449,2449,100029,2010,12/08/2010 12:00:00 AM,Ansonia,30 FRANCIS STREET,203700,140000.0,1.455,Residential,Three Family,25,
2503,2503,100060,2010,03/28/2011 12:00:00 AM,Ansonia,311 BEAVER STREET,173400,119900.0,1.44620517097581,Residential,Two Family,,
2589,2589,100089,2010,05/25/2011 12:00:00 AM,Ansonia,34 GREAT HILL ROAD,202500,216000.0,0.9375,Residential,Single Family,,
2655,2656,100086,2010,05/16/2011 12:00:00 AM,Ansonia,352 N MAIN STREET,163300,211000.0,0.7739336492891,Residential,Single Family,,
2663,2664,100038,2010,01/06/2011 12:00:00 AM,Ansonia,36 BEECHWOOD DRIVE,139800,175000.0,0.7988571428571429,Residential,Single Family,,
2737,2738,100082,2010,05/02/2011 12:00:00 AM,Ansonia,38 CLARK STREET,146700,181000.0,0.8104972375690609,Residential,Single Family,,
2797,2798,100067,2010,04/01/2011 12:00:00 AM,Ansonia,4 DEERFIELD LA,128400,131800.0,0.9742033383915021,Residential,Single Family,,
2814,2815,100096,2010,06/10/2011 12:00:00 AM,Ansonia,4 HUGHES CR,154400,188900.0,0.817363684489148,Condo,,,
2839,2840,100033,2010,12/22/2010 12:00:00 AM,Ansonia,4 SHORTELL DRIVE,210500,265000.0,0.79433962264151,Residential,Single Family,,
2867,2868,100032,2010,12/21/2010 12:00:00 AM,Ansonia,40 PARK PLACE,135800,183000.0,0.7420765027322399,Residential,Single Family,,
2870,2871,100014,2010,11/01/2010 12:00:00 AM,Ansonia,40 ROOSEVELT DRIVE,142900,100000.0,1.429,Residential,Single Family,25,
2882,2883,100049,2010,02/07/2011 12:00:00 AM,Ansonia,41 CHURCH STREET,203400,150500.0,1.3514950166113,Residential,Two Family,,
2969,2970,100013,2010,10/18/2010 12:00:00 AM,Ansonia,45 MURRAY STREET,310100,171000.0,1.81345029239766,Residential,Single Family,07,
2984,2985,100024,2010,11/23/2010 12:00:00 AM,Ansonia,46 HOINSKI WAY,221100,290000.0,0.762413793103448,Residential,Single Family,,
3038,3039,100076,2010,04/21/2011 12:00:00 AM,Ansonia,48 N SPRING STREET,175600,55100.0,3.18693284936479,Residential,Two Family,01,
3039,3040,100099,2010,06/27/2011 12:00:00 AM,Ansonia,48 PRINDLE AVE,222500,243566.0,0.9135100958261829,Residential,Single Family,,
3044,3045,100051,2010,02/14/2011 12:00:00 AM,Ansonia,48 SCOTLAND STREET,156100,159000.0,0.981761006289308,Residential,Single Family,,
3103,3104,100025,2010,11/24/2010 12:00:00 AM,Ansonia,5 HILL STREET,145100,199900.0,0.7258629314657329,Residential,Single Family,,
3191,3192,100091,2010,05/31/2011 12:00:00 AM,Ansonia,53 SILVER HILL ROAD,211700,260000.0,0.814230769230769,Residential,Single Family,,
3286,3287,100152,2010,10/01/2010 12:00:00 AM,Ansonia,6 ALAN DRIVE,130200,162000.0,0.803703703703704,Residential,Single Family,,
3308,3308,100045,2010,01/24/2011 12:00:00 AM,Ansonia,6 FIFTH STREET,182900,90000.0,2.03222222222222,Residential,Three Family,07,
3315,3315,100107,2010,07/14/2011 12:00:00 AM,Ansonia,6 GRACIE LA,43500,262000.0,0.16603053435114498,Vacant Land,,07,
3329,3329,100064,2010,03/31/2011 12:00:00 AM,Ansonia,6 KIELY LA,152600,134700.0,1.1328878990348898,Residential,Single Family,,
3334,3334,100069,2010,04/05/2011 12:00:00 AM,Ansonia,6 LIBERTY PINES,90700,92539.0,0.9801272976798969,Condo,,,
3344,3343,100055,2010,03/02/2011 12:00:00 AM,Ansonia,6 NANCY ROAD,171800,165000.0,1.0412121212121201,Residential,Single Family,,
3354,3353,100101,2010,06/29/2011 12:00:00 AM,Ansonia,6 VOSE STREET,151600,158000.0,0.959493670886076,Residential,Two Family,,
3357,3356,100054,2010,03/01/2011 12:00:00 AM,Ansonia,6 WOODBRIDGE MANOR,163800,246500.0,0.664503042596349,Residential,Single Family,,
3414,3413,100081,2010,05/02/2011 12:00:00 AM,Ansonia,64 HIGHLAND AVE,155100,168000.0,0.9232142857142859,Residential,Single Family,,
3448,3448,100048,2010,02/04/2011 12:00:00 AM,Ansonia,68 CLARK STREET,162400,71000.0,2.28732394366197,Residential,Two Family,07,
3453,3453,100070,2010,04/07/2011 12:00:00 AM,Ansonia,68 HULL STREET,177400,85000.0,2.08705882352941,Residential,Single Family,14,
3528,3529,100052,2010,02/22/2011 12:00:00 AM,Ansonia,7 W BROOKSIDE AVE,149000,63333.0,2.3526439612840098,Residential,Single Family,08,
3540,3541,100043,2010,01/19/2011 12:00:00 AM,Ansonia,70 CLARK STREET,154900,151000.0,1.02582781456954,Residential,Two Family,,
3551,3552,100009,2010,10/25/2010 12:00:00 AM,Ansonia,70 WESTFIELD AVE,125400,145000.0,0.864827586206896,Residential,Single Family,,
3622,3623,100012,2010,10/28/2010 12:00:00 AM,Ansonia,76-78 HODGE AVE,166300,220000.0,0.755909090909091,Residential,Single Family,,
3667,3668,100100,2010,06/28/2011 12:00:00 AM,Ansonia,8 DOREL TERR,245400,299000.0,0.8207357859531771,Residential,Single Family,,
3671,3672,100046,2010,01/24/2011 12:00:00 AM,Ansonia,8 FIFTH STREET,46300,90000.0,0.5144444444444439,Vacant Land,,25,
3689,3690,100119,2010,08/08/2011 12:00:00 AM,Ansonia,8 NICHOLS STREET,140300,174900.0,0.8021726700971981,Residential,Single Family,,
3711,3712,100010,2010,10/26/2010 12:00:00 AM,Ansonia,80 MYRTLE AVE,203800,45000.0,4.52888888888889,Residential,Two Family,07,
3826,3827,100080,2010,04/25/2011 12:00:00 AM,Ansonia,9 HART LA,190300,47000.0,4.04893617021277,Residential,Two Family,25,
3832,3833,100108,2010,07/14/2011 12:00:00 AM,Ansonia,9 HUGHES CR,152900,182890.0,0.836021652359342,Condo,,,
3833,3834,100016,2010,11/04/2010 12:00:00 AM,Ansonia,9 JOHN STREET,178100,250000.0,0.7124,Residential,Single Family,,
3835,3836,100120,2010,08/12/2011 12:00:00 AM,Ansonia,9 KATHY LA,147400,105199.0,1.40115400336505,Residential,Single Family,,
3855,3856,100036,2010,12/28/2010 12:00:00 AM,Ansonia,9 SHARYL DRIVE,112500,265000.0,0.424528301886792,Residential,Single Family,,
3862,3863,100005,2010,10/18/2010 12:00:00 AM,Ansonia,90 HUBBELL AVE,140600,154500.0,0.9100323624595469,Residential,Single Family,,
3933,3934,100109,2010,07/18/2011 12:00:00 AM,Ansonia,98 CLARKSON STREET,154200,180000.0,0.856666666666667,Residential,Two Family,,
3940,3941,100007,2010,10/20/2010 12:00:00 AM,Ansonia,99 JEWETT STREET,125000,215000.0,0.581395348837209,Residential,Single Family,,
3944,3945,100059,2010,03/28/2011 12:00:00 AM,Ansonia,99 ROOT AVE,193100,247000.0,0.7817813765182191,Residential,Single Family,,
3963,3964,100006,2010,12/03/2010 12:00:00 AM,Ashford,10 ARMITAGE ROAD,334300,495000.0,0.6753535353535349,Residential,Single Family,,
4001,4002,100031,2010,05/10/2011 12:00:00 AM,Ashford,11 OAK DRIVE,161000,173900.0,0.925819436457734,Residential,Single Family,,
4024,4025,100015,2010,01/10/2011 12:00:00 AM,Ashford,12 COTSWOLD DRIVE,119500,74900.0,1.5954606141521999,Residential,Single Family,14,
4025,4026,100036,2010,06/07/2011 12:00:00 AM,Ashford,12 COTSWOLD DRIVE,119500,118000.0,1.01271186440678,Residential,Single Family,,
4033,4034,100051,2010,08/01/2011 12:00:00 AM,Ashford,120 CUSHMAN ROAD,225500,303000.0,0.744224422442244,Residential,Single Family,,
4035,4036,100028,2010,04/25/2011 12:00:00 AM,Ashford,120 FERENCE ROAD,150100,130300.0,1.15195702225633,Residential,Single Family,14,
4053,4054,100010,2010,12/13/2010 12:00:00 AM,Ashford,128 HOWARD ROAD,61100,34500.0,1.7710144927536202,Vacant Land,,17,
4072,4073,100019,2010,01/21/2011 12:00:00 AM,Ashford,14 SUNSET DRIVE,135400,97400.0,1.3901437371663201,Residential,Single Family,14,
4073,4074,100025,2010,03/28/2011 12:00:00 AM,Ashford,14 SUNSET DRIVE,135400,48700.0,2.7802874743326496,Residential,Single Family,08,
4074,4075,100040,2010,06/22/2011 12:00:00 AM,Ashford,14 SUNSET DRIVE,135400,155500.0,0.8707395498392281,Residential,Single Family,,
4106,4107,100007,2010,12/03/2010 12:00:00 AM,Ashford,150 FERENCE ROAD,224700,195300.0,1.1505376344086,Residential,Single Family,14,
4107,4108,100018,2010,01/19/2011 12:00:00 AM,Ashford,150 FERENCE ROAD,224700,233000.0,0.964377682403434,Residential,Single Family,,
4121,4122,100037,2010,06/10/2011 12:00:00 AM,Ashford,16 NORTH ROAD,174100,110800.0,1.5712996389891698,Residential,Single Family,01,
4127,4128,100050,2010,08/01/2011 12:00:00 AM,Ashford,163 KRAPF ROAD,161300,236000.0,0.683474576271186,Residential,Single Family,,
4197,4198,100002,2010,11/01/2010 12:00:00 AM,Ashford,192 FERENCE ROAD,177600,225000.0,0.789333333333333,Residential,Single Family,,
4222,4223,100046,2010,07/08/2011 12:00:00 AM,Ashford,21 WESTVIEW DRIVE,54300,38000.0,1.42894736842105,Vacant Land,,,
4231,4232,100004,2010,11/17/2010 12:00:00 AM,Ashford,214 JAMES ROAD,241700,335000.0,0.721492537313433,Residential,Single Family,,
4233,4234,100048,2010,07/15/2011 12:00:00 AM,Ashford,219 PUMPKIN HILL ROAD,147600,185000.0,0.7978378378378381,Residential,Single Family,,
4240,4241,100008,2010,12/08/2010 12:00:00 AM,Ashford,221 POMPEY HOLLOW ROAD,78500,50000.0,1.57,Commercial,,11,
4260,4261,100016,2010,01/14/2011 12:00:00 AM,Ashford,24 OLD TOWN ROAD,107900,150000.0,0.7193333333333342,Residential,Single Family,,
4286,4287,100026,2010,03/29/2011 12:00:00 AM,Ashford,263 WESTFORD ROAD,108530,130000.0,0.834846153846154,Residential,Single Family,28,
4339,4340,100047,2010,07/12/2011 12:00:00 AM,Ashford,30-2 POMPEY ROAD,58800,40100.0,1.4663341645885302,Condo,,14,
4340,4341,100042,2010,06/28/2011 12:00:00 AM,Ashford,30-7 POMPEY ROAD,58800,55000.0,1.0690909090909102,Condo,,,
4359,4360,100024,2010,03/18/2011 12:00:00 AM,Ashford,32-2 POMPEY ROAD,58800,39000.0,1.5076923076923099,Condo,,14,
4386,4387,100032,2010,05/16/2011 12:00:00 AM,Ashford,325 NORTH ROAD,141850,71500.0,1.98391608391608,Residential,Single Family,25,
4397,4398,100035,2010,05/24/2011 12:00:00 AM,Ashford,33 PORTLAND DRIVE,216470,288000.0,0.751631944444444,Residential,Single Family,28,
4401,4402,100034,2010,05/23/2011 12:00:00 AM,Ashford,335 FERENCE ROAD,153900,75000.0,2.052,Residential,Single Family,18,
4478,4479,100038,2010,06/17/2011 12:00:00 AM,Ashford,391-393 ASHFORD CENTER ROAD,143700,49000.0,2.9326530612244905,Residential,Two Family,08,
4487,4488,100023,2010,03/14/2011 12:00:00 AM,Ashford,4 OAKES ROAD,150000,164000.0,0.9146341463414641,Residential,Single Family,,
4533,4534,100005,2010,11/24/2010 12:00:00 AM,Ashford,456 ZAICEK ROAD,69310,199900.0,0.34672336168084,Vacant Land,,28,
4549,4550,100044,2010,07/01/2011 12:00:00 AM,Ashford,468 BEBBINGTON ROAD,198600,7500.0,26.48,Residential,Single Family,08,
4551,4552,100030,2010,05/03/2011 12:00:00 AM,Ashford,47 ASHFORD CENTER ROAD,175400,225000.0,0.779555555555556,Residential,Single Family,,
4577,4578,100041,2010,06/28/2011 12:00:00 AM,Ashford,49 PORTLAND DRIVE,214300,241000.0,0.8892116182572609,Residential,Single Family,,
4595,4596,100003,2010,11/15/2010 12:00:00 AM,Ashford,52 PERRY HILL ROAD,2598200,2250000.0,1.15475555555556,Apartments,,,
4603,4604,100022,2010,03/08/2011 12:00:00 AM,Ashford,53 SECKAR ROAD,282500,317000.0,0.8911671924290221,Residential,Single Family,,
4612,4613,100053,2010,08/15/2011 12:00:00 AM,Ashford,55 HNATH ROAD,220500,290000.0,0.7603448275862071,Residential,Single Family,,
4626,4627,100029,2010,04/26/2011 12:00:00 AM,Ashford,58 LAKE VIEW DRIVE,110800,90000.0,1.2311111111111102,Residential,Single Family,14,
4673,4674,100039,2010,06/20/2011 12:00:00 AM,Ashford,64 VARGA ROAD,148200,139900.0,1.05932809149392,Residential,Single Family,,
4714,4715,100054,2010,08/31/2011 12:00:00 AM,Ashford,761 WESTFORD ROAD,261900,280000.0,0.935357142857143,Residential,Single Family,,
